Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Actual_Protein,Actual_Calories,Actual_Fat,Actual_Sat.Fat,Actual_Fiber,Actual_Carbs
Rice,1 cup,208,748,15.0,3,0,1.2,154.0,Breads cereals fastfoodgrains,0.07211538461538461,3.5961538461538463,0.014423076923076924,0.0,0.005769230769230769,0.7403846153846154
Converted,1 cup,187,677,14.0,0,0,0.4,142.0,Breads cereals fastfoodgrains,0.0748663101604278,3.620320855614973,0.0,0.0,0.0021390374331550803,0.7593582887700535
White,1 cup,191,692,14.0,0,0,0.3,150.0,Breads cereals fastfoodgrains,0.07329842931937172,3.6230366492146597,0.0,0.0,0.0015706806282722511,0.7853403141361257
Rice flakes,1 cup,30,115,2.0,0,0,0.1,26.0,Breads cereals fastfoodgrains,0.06666666666666667,3.8333333333333335,0.0,0.0,0.0033333333333333335,0.8666666666666667
Rice polish,1/2 cup,50,132,6.0,6,0,1.2,28.0,Breads cereals fastfoodgrains,0.12,2.64,0.12,0.0,0.024,0.56
Rolls,1 large,50,411,3.0,12,11,0.1,23.0,Breads cereals fastfoodgrains,0.06,8.22,0.24,0.22,0.002,0.46
of refined flour,1,38,115,3.0,2,2,0.0,20.0,Breads cereals fastfoodgrains,0.07894736842105263,3.026315789473684,0.05263157894736842,0.05263157894736842,0.0,0.5263157894736842
whole-wheat,1,40,102,4.0,1,0,0.1,20.0,Breads cereals fastfoodgrains,0.1,2.55,0.025,0.0,0.0025,0.5
Spaghetti with meat sauce,1 cup,250,285,13.0,10,6,0.5,35.0,Breads cereals fastfoodgrains,0.052,1.14,0.04,0.024,0.002,0.14
with tomatoes and cheese,1 cup,250,210,6.0,5,3,0.5,36.0,Breads cereals fastfoodgrains,0.024,0.84,0.02,0.012,0.002,0.144
Spanish rice,1 cup,250,217,4.0,4,0,1.2,40.0,Breads cereals fastfoodgrains,0.016,0.868,0.016,0.0,0.0048,0.16
Shredded wheat biscuit,1,28,100,3.0,1,0,0.7,23.0,Breads cereals fastfoodgrains,0.10714285714285714,3.5714285714285716,0.03571428571428571,0.0,0.024999999999999998,0.8214285714285714
Waffles,1,75,240,8.0,9,1,0.1,30.0,Breads cereals fastfoodgrains,0.10666666666666667,3.2,0.12,0.013333333333333334,0.0013333333333333335,0.4
Wheat germ,1 cup,68,245,17.0,7,3,2.5,34.0,Breads cereals fastfoodgrains,0.25,3.6029411764705883,0.10294117647058823,0.04411764705882353,0.03676470588235294,0.5
Wheat-germ cereal toasted,1 cup,65,260,20.0,7,3,2.5,36.0,Breads cereals fastfoodgrains,0.3076923076923077,4.0,0.1076923076923077,0.046153846153846156,0.038461538461538464,0.5538461538461539
Wheat meal cereal unrefined,3/4 cup,30,103,4.0,1,0,0.7,25.0,Breads cereals fastfoodgrains,0.13333333333333333,3.433333333333333,0.03333333333333333,0.0,0.02333333333333333,0.8333333333333334
Wheat cooked,3/4 cup,200,275,12.0,1,0,4.4,35.0,Breads cereals fastfoodgrains,0.06,1.375,0.005,0.0,0.022000000000000002,0.175
Bean soups,1 cup,250,190,8.0,5,4,0.6,30.0,Soups,0.032,0.76,0.02,0.016,0.0024,0.12
Beef soup,1 cup,250,100,6.0,4,4,0.5,11.0,Soups,0.024,0.4,0.016,0.016,0.002,0.044
Bouillon,1 cup,240,24,5.0,0,0,0.0,0.0,Soups,0.020833333333333332,0.1,0.0,0.0,0.0,0.0
chicken soup,1 cup,250,75,4.0,2,2,0.0,10.0,Soups,0.016,0.3,0.008,0.008,0.0,0.04
Clam chowder,1 cup,255,85,5.0,2,8,0.5,12.0,Soups,0.0196078431372549,0.3333333333333333,0.00784313725490196,0.03137254901960784,0.00196078431372549,0.047058823529411764
Cream soups,1 cup,255,200,7.0,12,11,1.2,18.0,Soups,0.027450980392156862,0.7843137254901961,0.047058823529411764,0.043137254901960784,0.004705882352941176,0.07058823529411765
Noodle,1 cup,250,115,6.0,4,3,0.2,13.0,Soups,0.024,0.46,0.016,0.012,0.0008,0.052
Split-pea soup,1 cup,250,147,8.0,3,3,0.5,25.0,Soups,0.032,0.588,0.012,0.012,0.002,0.1
Tomato soup,1 cup,245,175,6.0,7,6,0.5,22.0,Soups,0.024489795918367346,0.7142857142857143,0.02857142857142857,0.024489795918367346,0.0020408163265306124,0.08979591836734693
Vegetable,1 cup,250,80,4.0,2,2,0.0,14.0,Soups,0.016,0.32,0.008,0.008,0.0,0.056
Apple betty,1 serving,100,150,1.0,4,0,0.5,29.0,Desserts sweets,0.01,1.5,0.04,0.0,0.005,0.29
Bread pudding,3/4 cup,200,374,11.0,12,11,0.2,56.0,Desserts sweets,0.055,1.87,0.06,0.055,0.001,0.28
Cakes,1 slice,40,110,3.0,0,0,0.0,23.0,Desserts sweets,0.075,2.75,0.0,0.0,0.0,0.575
Chocolate fudge,1 slice,120,420,5.0,14,12,0.3,70.0,Desserts sweets,0.041666666666666664,3.5,0.11666666666666667,0.1,0.0025,0.5833333333333334
Cupcake,1,50,160,3.0,3,2,0.0,31.0,Desserts sweets,0.06,3.2,0.06,0.04,0.0,0.62
Fruit cake,1 slice,30,105,2.0,4,3,0.2,17.0,Desserts sweets,0.06666666666666667,3.5,0.13333333333333333,0.1,0.006666666666666667,0.5666666666666667
Gingerbread,1 slice,55,180,2.0,7,6,0.0,28.0,Desserts sweets,0.03636363636363636,3.272727272727273,0.12727272727272726,0.10909090909090909,0.0,0.509090909090909
Plain with no icing,1 slice,55,180,4.0,5,4,0.0,31.0,Desserts sweets,0.07272727272727272,3.272727272727273,0.09090909090909091,0.07272727272727272,0.0,0.5636363636363636
Sponge cake,1 slice,40,115,3.0,2,2,0.0,22.0,Desserts sweets,0.075,2.875,0.05,0.05,0.0,0.55
Candy,5,25,104,0.0,3,3,0.0,19.0,Desserts sweets,0.0,4.16,0.12,0.12,0.0,0.76
Chocolate creams,2,30,130,0.0,4,4,0.0,24.0,Desserts sweets,0.0,4.333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.8
Fudge,2 pieces,90,370,0.0,12,11,0.1,80.0,Desserts sweets,0.0,4.111111111111111,0.13333333333333333,0.12222222222222222,0.0011111111111111111,0.8888888888888888
Hard candies,1 oz.,28,90,0.0,0,0,0.0,28.0,Desserts sweets,0.0,3.2142857142857144,0.0,0.0,0.0,1.0
Marshmallows,5,30,98,1.0,0,0,0.0,23.0,Desserts sweets,0.03333333333333333,3.2666666666666666,0.0,0.0,0.0,0.7666666666666667
Milk chocolate,2-oz. bar,56,290,2.0,6,6,0.2,44.0,Desserts sweets,0.03571428571428571,5.178571428571429,0.10714285714285714,0.10714285714285714,0.0035714285714285718,0.7857142857142857
Chocolate syrup,2 T.,40,80,0.0,0,0,0.0,22.0,Desserts sweets,0.0,2.0,0.0,0.0,0.0,0.55
Doughnuts,1,33,135,2.0,7,4,0.0,17.0,Desserts sweets,0.06060606060606061,4.090909090909091,0.21212121212121213,0.12121212121212122,0.0,0.5151515151515151
Gelatin made with water,1 cup,239,155,4.0,0,0,0.0,36.0,Desserts sweets,0.016736401673640166,0.6485355648535565,0.0,0.0,0.0,0.1506276150627615
Honey,2 T.,42,120,0.0,0,0,0.0,30.0,Jams Jellies,0.0,2.857142857142857,0.0,0.0,0.0,0.7142857142857143
Ices,1 cup,150,117,0.0,0,0,0.0,48.0,Desserts sweets,0.0,0.78,0.0,0.0,0.0,0.32
preserves,1 T.,20,55,0.0,0,0,0.0,14.0,Jams Jellies,0.0,2.75,0.0,0.0,0.0,0.7
Jellies,1 T.,20,50,0.0,0,0,0.0,13.0,Jams Jellies,0.0,2.5,0.0,0.0,0.0,0.65
Molasses,1 T.,20,45,0.0,0,0,8.0,11.0,Jams Jellies,0.0,2.25,0.0,0.0,0.4,0.55
Cane Syrup,1 T.,20,50,0.0,0,0,0.0,13.0,Jams Jellies,0.0,2.5,0.0,0.0,0.0,0.65
"9"" diam. pie",1 slice,135,330,3.0,13,11,0.1,53.0,Desserts sweets,0.022222222222222223,2.4444444444444446,0.0962962962962963,0.08148148148148149,0.0007407407407407408,0.3925925925925926
